land;wahlkreis;gruppe;erststimmen;zweitstimmen
1;1;Wahlberechtigte;225659;-
1;1;Wähler;171905;-
1;1;Ungültige;1647;1509
1;1;Gültige;170258;170396
1;1;CDU;68102;58307
1;1;SPD;47697;40376
1;1;GRÜNE;17899;22290
1;1;FDP;11143;18948
1;1;DIE LINKE;12138;13995
1;1;AfD;10581;11647
1;1;NPD;-;354
1;1;FREIE WÄHLER;1943;1189
1;1;MLPD;-;59
1;1;BGE;-;843
1;1;ÖDP;-;297
1;1;Die PARTEI;-;2091
1;1;EB: Krüger-Winands;755;-
1;10;Wahlberechtigte;244503;-
1;10;Wähler;193359;-
1;10;Ungültige;1597;1388
1;10;Gültige;191762;191971
1;10;CDU;75737;66033
1;10;SPD;52169;42813
1;10;GRÜNE;18688;20827
1;10;FDP;15773;26162
1;10;DIE LINKE;9785;12478
1;10;AfD;17435;18791
1;10;NPD;-;491
1;10;FREIE WÄHLER;2175;1265
1;10;MLPD;-;51
1;10;BGE;-;524
1;10;ÖDP;-;424
1;10;Die PARTEI;-;2112
1;11;Wahlberechtigte;181637;-
1;11;Wähler;130976;-
1;11;Ungültige;2217;1171
1;11;Gültige;128759;129805
1;11;CDU;45447;38262
1;11;SPD;43574;32927
1;11;GRÜNE;16787;16558
1;11;FDP;8311;14102
1;11;DIE LINKE;-;12219
1;11;AfD;11135;11549
1;11;NPD;-;350
1;11;FREIE WÄHLER;2552;1090
1;11;MLPD;953;162
1;11;BGE;-;475
1;11;ÖDP;-;266
1;11;Die PARTEI;-;1845
1;2;Wahlberechtigte;186384;-
1;2;Wähler;139200;-
1;2;Ungültige;1299;1125
1;2;Gültige;137901;138075
1;2;CDU;62260;52933
1;2;SPD;34685;31120
1;2;GRÜNE;13036;15154
1;2;FDP;11103;18048
1;2;DIE LINKE;7102;8589
1;2;AfD;8110;9023
1;2;NPD;-;311
1;2;FREIE WÄHLER;1605;855
1;2;MLPD;-;63
1;2;BGE;-;430
1;2;ÖDP;-;173
1;2;Die PARTEI;-;1376
1;3;Wahlberechtigte;175950;-
1;3;Wähler;132016;-
1;3;Ungültige;1133;1141
1;3;Gültige;130883;130875
1;3;CDU;54812;47367
1;3;SPD;34221;29757
1;3;GRÜNE;8791;12960
1;3;FDP;14441;17294
1;3;DIE LINKE;7175;8732
1;3;AfD;10003;11176
1;3;NPD;-;472
1;3;FREIE WÄHLER;1277;1002
1;3;MLPD;163;62
1;3;BGE;-;415
1;3;ÖDP;-;192
1;3;Die PARTEI;-;1446
1;4;Wahlberechtigte;199632;-
1;4;Wähler;157387;-
1;4;Ungültige;1285;1119
1;4;Gültige;156102;156268
1;4;CDU;66625;56584
1;4;SPD;45070;35767
1;4;GRÜNE;13978;19337
1;4;FDP;10077;19071
1;4;DIE LINKE;8074;9962
1;4;AfD;10656;11578
1;4;NPD;-;308
1;4;FREIE WÄHLER;1622;1031
1;4;MLPD;-;55
1;4;BGE;-;584
1;4;ÖDP;-;237
1;4;Die PARTEI;-;1754
1;5;Wahlberechtigte;204650;-
1;5;Wähler;151463;-
1;5;Ungültige;1657;1290
1;5;Gültige;149806;150173
1;5;CDU;45691;40011
1;5;SPD;46517;35836
1;5;GRÜNE;21577;25904
1;5;FDP;11179;17480
1;5;DIE LINKE;11050;15466
1;5;AfD;9193;10390
1;5;NPD;-;250
1;5;FREIE WÄHLER;-;537
1;5;MLPD;265;147
1;5;BGE;-;625
1;5;ÖDP;-;341
1;5;Die PARTEI;3995;3186
1;5;Neue Liberale;339;-
1;6;Wahlberechtigte;174934;-
1;6;Wähler;131710;-
1;6;Ungültige;1221;1196
1;6;Gültige;130489;130514
1;6;CDU;53109;43778
1;6;SPD;37728;31013
1;6;GRÜNE;11736;16350
1;6;FDP;9379;16481
1;6;DIE LINKE;7009;8503
1;6;AfD;10223;11161
1;6;NPD;-;476
1;6;FREIE WÄHLER;1305;752
1;6;MLPD;-;61
1;6;BGE;-;411
1;6;ÖDP;-;186
1;6;Die PARTEI;-;1342
1;7;Wahlberechtigte;237474;-
1;7;Wähler;187711;-
1;7;Ungültige;1616;1339
1;7;Gültige;186095;186372
1;7;CDU;73816;63863
1;7;SPD;56460;42729
