state;party;direct_seats;list_seats;ueberhang
Baden-Württemberg;AfD;0;10;0
Baden-Württemberg;CDU;38;27;11
Baden-Württemberg;DIE LINKE;0;5;0
Baden-Württemberg;FDP;0;10;0
Baden-Württemberg;GRÜNE;0;11;0
Baden-Württemberg;SPD;0;13;0
Bayern;AfD;0;13;0
Bayern;CSU;46;39;7
Bayern;DIE LINKE;0;6;0
Bayern;FDP;0;10;0
Bayern;GRÜNE;0;10;0
Bayern;SPD;0;15;0
Berlin;AfD;0;3;0
Berlin;CDU;4;6;0
Berlin;DIE LINKE;4;5;0
Berlin;FDP;0;2;0
Berlin;GRÜNE;1;3;0
Berlin;SPD;3;5;0
Brandenburg;AfD;0;4;0
Brandenburg;CDU;9;6;3
Brandenburg;DIE LINKE;0;4;0
Brandenburg;FDP;0;1;0
Brandenburg;GRÜNE;0;1;0
Brandenburg;SPD;1;4;0
Bremen;AfD;0;1;0
Bremen;CDU;0;1;0
Bremen;DIE LINKE;0;1;0
Bremen;FDP;0;0;0
Bremen;GRÜNE;0;1;0
Bremen;SPD;2;1;1
Hamburg;AfD;0;1;0
Hamburg;CDU;1;3;0
Hamburg;DIE LINKE;0;2;0
Hamburg;FDP;0;1;0
Hamburg;GRÜNE;0;2;0
Hamburg;SPD;5;3;2
Hessen;AfD;0;5;0
Hessen;CDU;17;14;3
Hessen;DIE LINKE;0;4;0
Hessen;FDP;0;5;0
Hessen;GRÜNE;0;4;0
Hessen;SPD;5;11;0
Mecklenburg-Vorpommern;AfD;0;3;0
Mecklenburg-Vorpommern;CDU;6;4;2
Mecklenburg-Vorpommern;DIE LINKE;0;2;0
Mecklenburg-Vorpommern;FDP;0;1;0
Mecklenburg-Vorpommern;GRÜNE;0;1;0
Mecklenburg-Vorpommern;SPD;0;2;0
Niedersachsen;AfD;0;6;0
Niedersachsen;CDU;16;21;0
Niedersachsen;DIE LINKE;0;4;0
Niedersachsen;FDP;0;6;0
Niedersachsen;GRÜNE;0;5;0
Niedersachsen;SPD;14;17;0
Nordrhein-Westfalen;AfD;0;13;0
Nordrhein-Westfalen;CDU;38;43;0
Nordrhein-Westfalen;DIE LINKE;0;10;0
Nordrhein-Westfalen;FDP;0;17;0
Nordrhein-Westfalen;GRÜNE;0;10;0
Nordrhein-Westfalen;SPD;26;35;0
Rheinland-Pfalz;AfD;0;4;0
Rheinland-Pfalz;CDU;14;11;3
Rheinland-Pfalz;DIE LINKE;0;2;0
Rheinland-Pfalz;FDP;0;3;0
Rheinland-Pfalz;GRÜNE;0;2;0
Rheinland-Pfalz;SPD;1;8;0
Saarland;AfD;0;1;0
Saarland;CDU;3;2;1
Saarland;DIE LINKE;0;1;0
Saarland;FDP;0;1;0
Saarland;GRÜNE;0;0;0
Saarland;SPD;1;2;0
Sachsen;AfD;3;9;0
Sachsen;CDU;12;9;3
Sachsen;DIE LINKE;1;5;0
Sachsen;FDP;0;3;0
Sachsen;GRÜNE;0;2;0
Sachsen;SPD;0;4;0
Sachsen-Anhalt;AfD;0;4;0
Sachsen-Anhalt;CDU;9;5;4
Sachsen-Anhalt;DIE LINKE;0;3;0
Sachsen-Anhalt;FDP;0;1;0
Sachsen-Anhalt;GRÜNE;0;1;0
Sachsen-Anhalt;SPD;0;3;0
Schleswig-Holstein;AfD;0;2;0
Schleswig-Holstein;CDU;10;7;3
Schleswig-Holstein;DIE LINKE;0;2;0
Schleswig-Holstein;FDP;0;3;0
Schleswig-Holstein;GRÜNE;0;3;0
Schleswig-Holstein;SPD;1;5;0
Thüringen;AfD;0;4;0
Thüringen;CDU;8;5;3
Thüringen;DIE LINKE;0;3;0
Thüringen;FDP;0;1;0
Thüringen;GRÜNE;0;1;0
Thüringen;SPD;0;3;0
